OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
10,1,Josh Allen,2024,BUF,QB,28,22.02,352.28
13,2,Jalen Hurts,2024,PHI,QB,26,20.97,335.57
22,3,Lamar Jackson,2024,BAL,QB,27,19.77,316.29
33,4,Patrick Mahomes,2024,KAN,QB,29,18.48,295.61
42,5,Justin Fields,2024,PIT,QB,25,17.68,282.87
47,6,Kyler Murray,2024,ARI,QB,27,17.19,275.1
48,7,C.J. Stroud,2024,HOU,QB,23,17.09,273.47
50,8,Trevor Lawrence,2024,JAX,QB,25,17.03,272.42
57,9,Tua Tagovailoa,2024,MIA,QB,26,16.7,267.16
58,10,Joe Burrow,2024,CIN,QB,28,16.64,266.26
64,11,Dak Prescott,2024,DAL,QB,31,16.45,263.25
66,12,Geno Smith,2024,SEA,QB,34,16.4,262.39
67,13,Jared Goff,2024,DET,QB,30,16.38,262.15
74,14,Justin Herbert,2024,LAC,QB,26,15.91,254.6
83,15,Anthony Richardson,2024,IND,QB,22,15.33,245.31
84,16,Daniel Jones,2024,NYG,QB,27,15.07,241.14
99,17,Derek Carr,2024,NOR,QB,33,13.78,220.48
100,18,Baker Mayfield,2024,TAM,QB,29,14.62,217.82
105,19,Russell Wilson,2024,PIT,QB,36,13.18,210.87
107,20,Jayden Daniels,2024,WAS,QB,24,13.06,208.96
110,21,Matthew Stafford,2024,LAR,QB,36,12.91,206.54
111,22,Brock Purdy,2024,SFO,QB,25,15.32,205.93
113,23,Kirk Cousins,2024,ATL,QB,36,12.77,204.29
114,24,Caleb Williams,2024,CHI,QB,23,12.68,202.93
115,25,J.J. McCarthy,2024,MIN,QB,22,12.68,202.84
121,26,Deshaun Watson,2024,CLE,QB,29,12.45,199.13
127,27,Aaron Rodgers,2024,NYJ,QB,41,12.16,194.48
128,28,Drake Maye,2024,NWE,QB,23,12.09,193.45
131,29,Jordan Love,2024,GNB,QB,26,14.84,192.23
137,30,Will Levis,2024,TEN,QB,25,11.69,187.0
138,31,Bo Nix,2024,DEN,QB,25,11.67,186.78
148,32,Michael Penix,2024,ATL,QB,25,10.82,173.17
160,33,Bryce Young,2024,CAR,QB,23,10.13,162.13
186,34,Aidan O'Connell,2024,LVR,QB,26,9.83,142.97
235,35,Gardner Minshew II,2024,LVR,QB,28,8.24,89.84
263,36,Jacoby Brissett,2024,NWE,QB,32,6.89,63.81
271,37,Sam Darnold,2024,MIN,QB,27,6.86,48.03
